index,appid,name,numPlayer,totalTime,price,avgTime(h)PerP,avgCostPerHourPerPerson
8947,544870,Blood Ties,10,599,0.49,0.998333333,0.49081803
6219,444940,UBERMOSH:BLACK,29,527,0.49,0.302873563,1.617836812
13131,674310,THE 2048,2,30,0.49,0.25,1.96
6592,586350,UBERMOSH:WRAITH,25,104,0.49,0.069333333,7.067307692
4844,652550,Vickinachi,55,0,0.49,0,inf
7908,299820,Paradigm Shift,15,0,0.49,0,inf
10704,647040,Riaaf The Spider,5,0,0.49,0,inf
11956,569740,Box Maze - Xmas Skins Pack,3,0,0.49,0,inf
12228,532050,Box Maze - Cubert Friends Skins Pack,3,0,0.49,0,inf
13034,604090,Arcane Raise - Booster Pack,2,0,0.49,0,inf
13119,654770,Ballway,2,0,0.49,0,inf
13978,673660,Neon Hardcore,1,0,0.49,0,inf
14865,654950,Labyrinth Escape,1,0,0.49,0,inf
14924,655130,LSDriver 2,1,0,0.49,0,inf
15252,667300,aMAZE 3D,1,0,0.49,0,inf
15597,384171,The Secret of Tremendous Corporation: DLC,1,0,0.49,0,inf
15598,384170,The Soundtrack of Tremendous Corporation,1,0,0.49,0,inf
7291,388340,Super Hipster Lumberjack,19,37,0.5,0.03245614,15.40540541
8905,289320,"Fairy Tale About Father Frost, Ivan and Nastya",10,72,0.59,0.12,4.916666667
11132,670810,Family cobweb,4,24,0.59,0.1,5.9
12305,658600,Lawnmower Game,3,0,0.59,0,inf
11460,661800,Mad Muzzles,4,91,0.62,0.379166667,1.635164835
8424,661810,ElectricScribe,12,130,0.62,0.180555556,3.433846154
7805,659350,Cowboy Rewenge,15,143,0.62,0.158888889,3.902097902
9559,661370,DSquad War,8,51,0.62,0.10625,5.835294118
7040,655300,Boom-Bahh,21,45,0.62,0.035714286,17.36
7928,657770,Hell Quest,15,25,0.62,0.027777778,22.32
5742,645710,Crazy Catman,35,25,0.62,0.011904762,52.08
7629,655310,Hard Man,16,9,0.62,0.009375,66.13333333
5827,655260,TAP TOUCH RUN,34,12,0.62,0.005882353,105.4
8271,657740,Ballistic Attack,13,0,0.62,0,inf
9016,661090,Tank Battle Mania,10,0,0.62,0,inf
13628,664140,IsoBoom,1,0,0.62,0,inf
15827,538610,Disgraced Role Playing Game DLC,1,0,0.62,0,inf
