number,price,percentage
0,0.2,0
0,0.4,0
21,0.6,0.004853247
23,0.8,0.005315461
522,1,0.120637855
6,1.2,0.001386642
28,1.4,0.006470996
12,1.6,0.002773284
5,1.8,0.001155535
332,2,0.076727525
2,2.2,0.000462214
4,2.4,0.000924428
8,2.6,0.001848856
0,2.8,0
386,3,0.089207303
0,3.2,0
1,3.4,0.000231107
4,3.6,0.000924428
3,3.8,0.000693321
231,4,0.053385718
5,4.2,0.001155535
2,4.4,0.000462214
2,4.6,0.000462214
1,4.8,0.000231107
727,5,0.168014791
0,5.2,0
0,5.4,0
1,5.6,0.000231107
1,5.8,0.000231107
202,6,0.046683615
0,6.2,0
2,6.4,0.000462214
3,6.6,0.000693321
1,6.8,0.000231107
234,7,0.054079039
2,7.2,0.000462214
0,7.4,0
4,7.6,0.000924428
0,7.8,0
166,8,0.038363762
0,8.2,0
0,8.4,0
1,8.6,0.000231107
1,8.8,0.000231107
75,9,0.017333025
0,9.2,0
0,9.4,0
1,9.6,0.000231107
1,9.8,0.000231107
759,10,0.175410215
0,10.2,0
1,10.4,0.000231107
0,10.6,0
0,10.8,0
15,11,0.003466605
0,11.2,0
0,11.4,0
0,11.6,0
0,11.8,0
41,12,0.009475387
0,12.2,0
0,12.4,0
0,12.6,0
2,12.8,0.000462214
57,13,0.013173099
0,13.2,0
1,13.4,0.000231107
0,13.6,0
0,13.8,0
18,14,0.004159926
0,14.2,0
0,14.4,0
0,14.6,0
0,14.8,0
237,15,0.05477236
2,15.2,0.000462214
0,15.4,0
0,15.6,0
0,15.8,0
9,16,0.002079963
0,16.2,0
0,16.4,0
0,16.6,0
0,16.8,0
5,17,0.001155535
0,17.2,0
0,17.4,0
0,17.6,0
0,17.8,0
7,18,0.001617749
0,18.2,0
0,18.4,0
0,18.6,0
1,18.8,0.000231107
2,19,0.000462214
0,19.2,0
0,19.4,0
1,19.6,0.000231107
0,19.8,0
149,20,0.034434943
