number,costPerHour,percentage
1132,15,0.449563145
510,30,0.2025417
222,45,0.08816521
128,60,0.050833995
59,75,0.023431295
44,90,0.017474186
37,105,0.014694202
50,120,0.019857029
24,135,0.009531374
28,150,0.011119936
12,165,0.004765687
26,180,0.010325655
12,195,0.004765687
19,210,0.007545671
8,225,0.003177125
12,240,0.004765687
4,255,0.001588562
8,270,0.003177125
4,285,0.001588562
19,300,0.007545671
4,315,0.001588562
2,330,0.000794281
8,345,0.003177125
9,360,0.003574265
4,375,0.001588562
4,390,0.001588562
7,405,0.002779984
6,420,0.002382844
1,435,0.000397141
4,450,0.001588562
3,465,0.001191422
6,480,0.002382844
1,495,0.000397141
2,510,0.000794281
0,525,0
4,540,0.001588562
1,555,0.000397141
2,570,0.000794281
3,585,0.001191422
14,600,0.005559968
1,615,0.000397141
2,630,0.000794281
0,645,0
2,660,0.000794281
1,675,0.000397141
0,690,0
4,705,0.001588562
9,720,0.003574265
0,735,0
1,750,0.000397141
1,765,0.000397141
0,780,0
1,795,0.000397141
3,810,0.001191422
0,825,0
6,840,0.002382844
1,855,0.000397141
0,870,0
0,885,0
5,900,0.001985703
0,915,0
1,930,0.000397141
0,945,0
4,960,0.001588562
1,975,0.000397141
1,990,0.000397141
2,1005,0.000794281
0,1020,0
0,1035,0
1,1050,0.000397141
1,1065,0.000397141
3,1080,0.001191422
0,1095,0
3,1110,0.001191422
1,1125,0.000397141
1,1140,0.000397141
0,1155,0
0,1170,0
0,1185,0
14,1200,0.005559968
0,1215,0
0,1230,0
0,1245,0
1,1260,0.000397141
0,1275,0
0,1290,0
1,1305,0.000397141
0,1320,0
0,1335,0
0,1350,0
1,1365,0.000397141
0,1380,0
0,1395,0
0,1410,0
0,1425,0
2,1440,0.000794281
0,1455,0
0,1470,0
0,1485,0
0,1500,0
