number,costPerHour,percentage
0,15,0
0,30,0
5,45,0.11627907
5,60,0.11627907
5,75,0.11627907
6,90,0.139534884
2,105,0.046511628
2,120,0.046511628
3,135,0.069767442
1,150,0.023255814
3,165,0.069767442
0,180,0
1,195,0.023255814
0,210,0
1,225,0.023255814
0,240,0
0,255,0
1,270,0.023255814
0,285,0
0,300,0
1,315,0.023255814
1,330,0.023255814
0,345,0
0,360,0
0,375,0
0,390,0
0,405,0
1,420,0.023255814
0,435,0
0,450,0
0,465,0
0,480,0
0,495,0
0,510,0
0,525,0
0,540,0
0,555,0
1,570,0.023255814
0,585,0
0,600,0
0,615,0
0,630,0
0,645,0
0,660,0
0,675,0
0,690,0
1,705,0.023255814
0,720,0
0,735,0
0,750,0
0,765,0
0,780,0
0,795,0
1,810,0.023255814
1,825,0.023255814
1,840,0.023255814
0,855,0
0,870,0
0,885,0
0,900,0
0,915,0
0,930,0
0,945,0
0,960,0
0,975,0
0,990,0
0,1005,0
0,1020,0
0,1035,0
0,1050,0
0,1065,0
0,1080,0
0,1095,0
0,1110,0
0,1125,0
0,1140,0
0,1155,0
0,1170,0
0,1185,0
0,1200,0
0,1215,0
0,1230,0
0,1245,0
0,1260,0
0,1275,0
0,1290,0
0,1305,0
0,1320,0
0,1335,0
0,1350,0
0,1365,0
0,1380,0
0,1395,0
0,1410,0
0,1425,0
0,1440,0
0,1455,0
0,1470,0
0,1485,0
0,1500,0
