index,appid,name,numPlayer,totalTime,price,avgTime(h)PerP,avgCostPerHourPerPerson
8543,408650,ChromaGun,11,633,10.39,0.959090909,10.83317536
10714,543930,Koi Musubi,5,270,10.99,0.9,12.21111111
14629,607670,Puzzle Guardians,1,52,10.99,0.866666667,12.68076923
9578,345430,The Cursed Forest,8,409,10.99,0.852083333,12.89779951
13754,625770,SMASHING THE BATTLE VR,1,29,10.99,0.483333333,22.73793103
12202,376130,Illuminascii,3,82,10.99,0.455555556,24.12439024
15440,513270,Lockdown: Stand Alone,1,23,10.99,0.383333333,28.66956522
11534,509260,Northern Regime,4,60,10.99,0.25,43.96
14481,411130,Leviathan: The Cargo,1,13,10.99,0.216666667,50.72307692
14436,642700,The Murder Room VR,1,9,10.99,0.15,73.26666667
13534,479020,Pirates of the Polygon Sea,2,14,10.99,0.116666667,94.2
7339,393660,Streamline,19,8,10.99,0.007017544,1566.075
13738,530130,Akuto: Mad World,1,0,10.99,0,inf
13898,592270,Neko Navy,1,0,10.99,0,inf
14816,673770,Cats Tanks,1,0,10.99,0,inf
15241,356870,Devoured Time,1,0,10.99,0,inf
12837,396870,Catyph: The Kunci Experiment,2,102,11.99,0.85,14.10588235
3860,345860,Super Galaxy Squadron EX Turbo,88,3536,11.99,0.66969697,17.90361991
14660,493290,World VR Competition,1,38,11.99,0.633333333,18.93157895
3353,473530,Slime-san,110,4120,11.99,0.624242424,19.20728155
8961,379420,Polynomial 2,10,365,11.99,0.608333333,19.70958904
12517,600090,The Coma: Recut,2,73,11.99,0.608333333,19.70958904
10993,618050,To The Light,5,179,11.99,0.596666667,20.09497207
3665,423950,Deadlight Director’s Cut,96,3020,11.99,0.524305556,22.86834437
13627,553950,GRIDD: Retroenhanced,1,31,11.99,0.516666667,23.20645161
12177,435360,Campus Notes - forget me not.,3,92,11.99,0.511111111,23.45869565
8963,270270,Frozen State,10,300,11.99,0.5,23.98
15849,514640,TankYou!,1,30,11.99,0.5,23.98
11142,346090,I Can't Escape: Darkness,4,102,11.99,0.425,28.21176471
15317,559140,Pinheads Bowling VR,1,24,11.99,0.4,29.975
9435,476360,Strike Vector EX,8,191,11.99,0.397916667,30.13193717
14727,644480,Outbreak: The New Nightmare,1,20,11.99,0.333333333,35.97
5933,468930,Phantaruk,32,612,11.99,0.31875,37.61568627
12090,543010,Old Time Hockey,3,55,11.99,0.305555556,39.24
11226,433380,Back in 1995,4,62,11.99,0.258333333,46.41290323
4122,390040,Small Radios Big Televisions,79,1166,11.99,0.245991561,48.74150943
9533,384700,Umihara Kawase Shun Steam Edition,8,109,11.99,0.227083333,52.8
13183,582980,Castle of Shikigami ????,2,24,11.99,0.2,59.95
11539,534290,Cursed Castilla (Maldita Castilla EX),4,36,11.99,0.15,79.93333333
14040,673750,Super Bunny Man,1,9,11.99,0.15,79.93333333
15044,580890,Arrow Heads,1,7,11.99,0.116666667,102.7714286
10966,379520,DELTAZEAL,5,34,11.99,0.113333333,105.7941176
10856,364250,XIIZEAL,5,25,11.99,0.083333333,143.88
7323,330670,DiscStorm,19,92,11.99,0.080701754,148.5717391
9628,455290,Dashing Dinos,8,32,11.99,0.066666667,179.85
6279,463920,Initia: Elemental Arena,28,91,11.99,0.054166667,221.3538462
13265,663300,Enlightenment,2,6,11.99,0.05,239.8
11478,387400,C.R.E.E.P.S,4,10,11.99,0.041666667,287.76
12340,568480,Space Slam,3,3,11.99,0.016666667,719.4
12207,639470,Original Journey,3,0,11.99,0,inf
12439,489570,Antisphere,2,0,11.99,0,inf
12568,394830,One Upon Light,2,0,11.99,0,inf
12816,422110,Wand Wars,2,0,11.99,0,inf
14434,628800,Super Hydorah,1,0,11.99,0,inf
14845,550990,"Viktor, a Steampunk Adventure",1,0,11.99,0,inf
14922,433480,Rayon Riddles - Rise of the Goblin King,1,0,11.99,0,inf
15115,332760,Friendship Club,1,0,11.99,0,inf
14938,603420,Caveman Warriors,1,55,12.74,0.916666667,13.89818182
15884,386100,Pylon: Rogue,1,0,12.74,0,inf
15428,597770,VINDICTA,1,33,12.89,0.55,23.43636364
13384,328710,One Last Day,2,111,12.99,0.925,14.04324324
13337,452940,Theory Test UK 2016/17 - Driving Test Success,2,108,12.99,0.9,14.43333333
14527,395190,Reiner Knizia's The Confrontation,1,50,12.99,0.833333333,15.588
8221,378810,Steamroll,13,636,12.99,0.815384615,15.93113208
