index,appid,name,numPlayer,totalTime,price,avgTime(h)PerP,avgCostPerHourPerPerson
8893,311260,The Guild 3,10,567,29.99,0.945,31.73544974
6520,403200,Legends of Dawn Reborn,25,1271,29.99,0.847333333,35.39339103
10976,488950,Werewolves Within,5,238,29.99,0.793333333,37.80252101
2278,390340,Umbrella Corps™ / Biohazard Umbrella Corps™,200,8902,29.99,0.741833333,40.42687037
12700,510320,Conflict of Heroes: Awakening the Bear,2,78,29.99,0.65,46.13846154
8355,688480,EVE: Valkyrie - Warzone,12,373,29.99,0.518055556,57.88954424
10882,312420,Hell,5,152,29.99,0.506666667,59.19078947
11517,310390,Advanced Tactics Gold,4,111,29.99,0.4625,64.84324324
9004,204760,Deep Black : Reloaded,10,262,29.99,0.436666667,68.67938931
12311,553880,Archangel,3,78,29.99,0.433333333,69.20769231
5907,353540,Stephen's Sausage Roll,33,770,29.99,0.388888889,77.11714286
10620,477750,Thirty Years' War,5,88,29.99,0.293333333,102.2386364
12595,647810,Verto Studio VR,2,33,29.99,0.275,109.0545455
13854,397190,Sengoku Jidai: Shadow of the Shogun,1,16,29.99,0.266666667,112.4625
6682,521890,Hello Neighbor,24,297,29.99,0.20625,145.4060606
3609,227260,DisplayFusion,98,1125,29.99,0.191326531,156.7477333
14399,587400,Snow Moto Racing Freedom,1,11,29.99,0.183333333,163.5818182
10470,345630,The Eden of Grisaia,5,48,29.99,0.16,187.4375
14543,548010,3D Organon VR Anatomy,1,8,29.99,0.133333333,224.925
9759,491770,Deformers,7,30,29.99,0.071428571,419.86
14969,588720,Easy German™ Platinum,1,1,29.99,0.016666667,1799.4
12741,658620,Wonderful Everyday Down the Rabbit-Hole,2,1,29.99,0.008333333,3598.8
13942,643590,Everyday Golf VR,1,0,29.99,0,inf
14348,468100,Aqua Moto Racing Utopia,1,0,29.99,0,inf
14588,546360,Driver Booster 4 Upgrade to Pro (Lifetime),1,0,29.99,0,inf
14835,541640,Disney Infinity 1.0: Gold Edition,1,0,29.99,0,inf
