number,costPerHourPerPerson,percentage
116,0.15,0.108309991
280,0.3,0.261437908
184,0.45,0.171802054
150,0.6,0.140056022
93,0.75,0.086834734
69,0.9,0.06442577
43,1.05,0.040149393
31,1.2,0.028944911
32,1.35,0.029878618
27,1.5,0.025210084
9,1.65,0.008403361
9,1.8,0.008403361
7,1.95,0.006535948
4,2.1,0.003734827
3,2.25,0.00280112
3,2.4,0.00280112
2,2.55,0.001867414
0,2.7,0
2,2.85,0.001867414
3,3,0.00280112
0,3.15,0
0,3.3,0
0,3.45,0
0,3.6,0
1,3.75,0.000933707
0,3.9,0
0,4.05,0
0,4.2,0
0,4.35,0
0,4.5,0
0,4.65,0
0,4.8,0
1,4.95,0.000933707
1,5.1,0.000933707
0,5.25,0
0,5.4,0
0,5.55,0
0,5.7,0
0,5.85,0
0,6,0
0,6.15,0
0,6.3,0
0,6.45,0
0,6.6,0
0,6.75,0
0,6.9,0
0,7.05,0
0,7.2,0
0,7.35,0
0,7.5,0
0,7.65,0
0,7.8,0
0,7.95,0
1,8.1,0.000933707
0,8.25,0
0,8.4,0
0,8.55,0
0,8.7,0
0,8.85,0
0,9,0
0,9.15,0
0,9.3,0
0,9.45,0
0,9.6,0
0,9.75,0
0,9.9,0
0,10.05,0
0,10.2,0
0,10.35,0
0,10.5,0
0,10.65,0
0,10.8,0
0,10.95,0
0,11.1,0
0,11.25,0
0,11.4,0
0,11.55,0
0,11.7,0
0,11.85,0
0,12,0
0,12.15,0
0,12.3,0
0,12.45,0
0,12.6,0
0,12.75,0
0,12.9,0
0,13.05,0
0,13.2,0
0,13.35,0
0,13.5,0
0,13.65,0
0,13.8,0
0,13.95,0
0,14.1,0
0,14.25,0
0,14.4,0
0,14.55,0
0,14.7,0
0,14.85,0
0,15,0
