number,costPerHourPerPerson,percentage
2180,1,0.274386407
1712,2,0.215481435
1205,3,0.151667716
809,4,0.101825047
558,5,0.070232851
361,6,0.045437382
286,7,0.035997483
189,8,0.023788546
179,9,0.022529893
135,10,0.016991819
66,11,0.008307111
44,12,0.005538074
52,13,0.006544997
29,14,0.003650094
34,15,0.004279421
27,16,0.003398364
8,17,0.001006923
5,18,0.000629327
15,19,0.00188798
14,20,0.001762115
3,21,0.000377596
3,22,0.000377596
4,23,0.000503461
6,24,0.000755192
4,25,0.000503461
1,26,0.000125865
3,27,0.000377596
1,28,0.000125865
5,29,0.000629327
1,30,0.000125865
0,31,0
0,32,0
2,33,0.000251731
1,34,0.000125865
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
1,44,0.000125865
0,45,0
0,46,0
0,47,0
0,48,0
0,49,0
0,50,0
0,51,0
0,52,0
0,53,0
1,54,0.000125865
0,55,0
0,56,0
0,57,0
0,58,0
0,59,0
0,60,0
0,61,0
0,62,0
0,63,0
0,64,0
0,65,0
0,66,0
0,67,0
0,68,0
0,69,0
0,70,0
0,71,0
0,72,0
0,73,0
1,74,0.000125865
