index,appid,name,numPlayer,totalTime,price,avgTime(h)PerP,avgCostPerHourPerPerson
4576,291710,The Lost Crown,63,3778,9.99,0.999470899,9.995288512
3635,323720,Decay - The Mare,97,5812,9.99,0.99862543,10.00375086
1035,201570,Really Big Sky,502,30077,4.99,0.998572377,4.997134023
8947,544870,Blood Ties,10,599,0.49,0.998333333,0.49081803
112,280,Half-Life: Source,3239,194004,9.99,0.998271071,10.00730191
8249,465760,Scrap Garden,13,778,9.99,0.997435897,10.01568123
4513,342020,BiT Evolution,65,3889,9.99,0.997179487,10.01825662
9252,291640,Mirror Mysteries 2: Forgotten Kingdoms,9,538,4.99,0.996296296,5.008550186
3479,295930,Swipecart,104,6215,2.99,0.99599359,3.002027353
447,6850,Hitman 2: Silent Assassin,1168,69635,6.99,0.993650114,7.034669347
8176,340750,Gunslugs 2,13,775,4.99,0.993589744,5.022193548
10446,382070,Neoncube,5,298,0.99,0.993333333,0.996644295
6332,259430,Zigfrak,27,1609,7.99,0.993209877,8.04462399
4192,204940,Crusader Kings Complete,76,4529,9.99,0.993201754,10.05837933
5672,102810,Gatling Gears,37,2203,9.99,0.992342342,10.06709033
958,31290,Back to the Future: Ep 1 - It's About Time,540,32137,19.99,0.991882716,20.15359243
6502,46600,Swarm Arena,26,1547,4.99,0.991666667,5.031932773
12696,456830,Dual Core,2,119,9.99,0.991666667,10.07394958
12897,393860,Smoots World Cup Tennis,2,119,14.99,0.991666667,15.11596639
1684,39660,The Guild II - Pirates of the European Seas,286,17016,2.49,0.991608392,2.511071932
331,34440,Sid Meier's Civilization IV,1416,84225,19.99,0.99134887,20.16444524
3959,262390,Cloudbuilt,84,4994,19.99,0.990873016,20.17412895
3043,300060,ADR1FT,130,7728,19.99,0.990769231,20.17624224
4139,22310,Rogue Warrior,78,4634,4.99,0.99017094,5.03953388
6481,58230,MacGuffin's Curse,26,1544,9.99,0.98974359,10.09352332
7444,290490,The Flock,18,1068,16.99,0.988888889,17.18089888
8477,111010,The Clockwork Man: The Hidden World,12,712,9.99,0.988888889,10.10224719
8130,473740,Crystal City,13,771,5.99,0.988461538,6.059922179
11125,547910,The Survey,4,237,1.99,0.9875,2.015189873
172,462780,Darksiders Warmastered Edition,2528,149501,19.99,0.98563423,20.28135732
8107,348650,The Asskickers,14,827,9.99,0.98452381,10.14703748
1255,258760,Scania Truck Driving Simulator,403,23787,9.99,0.983746898,10.15505108
13502,370570,Color Assembler,2,118,7.99,0.983333333,8.125423729
14021,413700,Run Turn Die,1,59,2.99,0.983333333,3.040677966
14450,613210,BlobCat,1,59,9.99,0.983333333,10.15932203
15303,513720,Archipelago,1,59,0.99,0.983333333,1.006779661
15551,666660,Castles,1,59,4.99,0.983333333,5.074576271
15718,637870,Slice&Dice,1,59,9.99,0.983333333,10.15932203
8544,284260,PANORAMICAL,11,648,9.99,0.981818182,10.175
2942,668630,Tricolour Lovestory,136,8008,1.99,0.981372549,2.027772228
8579,302470,Battle Mages,11,647,3.99,0.98030303,4.070170015
11446,37290,Zenerchi,4,235,9.99,0.979166667,10.20255319
5348,298930,Darkness Within: In Pursuit of Loath Nolder,43,2526,7.99,0.979069767,8.160807601
4799,311290,SpellForce 3,57,3344,44.99,0.977777778,46.0125
11880,551100,Oblivion's Edge,3,176,4.99,0.977777778,5.103409091
11930,503960,Will of the Gods,3,176,2.99,0.977777778,3.057954545
8686,395350,Doors,11,645,4.99,0.977272727,5.106046512
9100,15970,Luxor,9,527,9.99,0.975925926,10.23643264
3953,247370,Mutant Mudds Deluxe,85,4974,9.99,0.975294118,10.24306393
11410,676710,Simulator gas station,4,234,0.99,0.975,1.015384615
3658,353700,The Deadly Tower of Monsters,96,5614,14.99,0.974652778,15.37983612
