number,costPerHour,percentage
4452,0,0.443735672
277,0.05,0.027608891
305,0.1,0.030399681
289,0.15,0.028804944
254,0.2,0.025316456
260,0.25,0.025914482
234,0.3,0.023323034
222,0.35,0.022126981
208,0.4,0.020731586
195,0.45,0.019435862
184,0.5,0.01833948
168,0.55,0.016744742
144,0.6,0.014352636
136,0.65,0.013555268
120,0.7,0.01196053
117,0.75,0.011661517
118,0.8,0.011761188
123,0.85,0.012259544
113,0.9,0.011262833
96,0.95,0.009568424
102,1,0.010166451
80,1.05,0.007973687
76,1.1,0.007575002
86,1.15,0.008571713
63,1.2,0.006279278
71,1.25,0.007076647
65,1.3,0.006478621
49,1.35,0.004883883
50,1.4,0.004983554
51,1.45,0.005083225
55,1.5,0.00548191
46,1.55,0.00458487
42,1.6,0.004186186
36,1.65,0.003588159
39,1.7,0.003887172
33,1.75,0.003289146
33,1.8,0.003289146
41,1.85,0.004086515
33,1.9,0.003289146
35,1.95,0.003488488
36,2,0.003588159
32,2.05,0.003189475
32,2.1,0.003189475
27,2.15,0.002691119
25,2.2,0.002491777
26,2.25,0.002591448
31,2.3,0.003089804
36,2.35,0.003588159
27,2.4,0.002691119
14,2.45,0.001395395
30,2.5,0.002990133
16,2.55,0.001594737
15,2.6,0.001495066
13,2.65,0.001295724
28,2.7,0.00279079
17,2.75,0.001694408
17,2.8,0.001694408
23,2.85,0.002292435
24,2.9,0.002392106
18,2.95,0.00179408
29,3,0.002890461
14,3.05,0.001395395
11,3.1,0.001096382
10,3.15,0.000996711
15,3.2,0.001495066
14,3.25,0.001395395
15,3.3,0.001495066
12,3.35,0.001196053
11,3.4,0.001096382
12,3.45,0.001196053
12,3.5,0.001196053
18,3.55,0.00179408
12,3.6,0.001196053
6,3.65,0.000598027
12,3.7,0.001196053
17,3.75,0.001694408
11,3.8,0.001096382
8,3.85,0.000797369
8,3.9,0.000797369
12,3.95,0.001196053
16,4,0.001594737
10,4.05,0.000996711
10,4.1,0.000996711
15,4.15,0.001495066
10,4.2,0.000996711
6,4.25,0.000598027
15,4.3,0.001495066
14,4.35,0.001395395
7,4.4,0.000697698
5,4.45,0.000498355
5,4.5,0.000498355
13,4.55,0.001295724
5,4.6,0.000498355
8,4.65,0.000797369
7,4.7,0.000697698
7,4.75,0.000697698
6,4.8,0.000598027
7,4.85,0.000697698
7,4.9,0.000697698
7,4.95,0.000697698
6,5,0.000598027
