number,numberOfGames,percentage
11577,0,0.4615292617
4952,1,0.1974166800
1827,2,0.0728352735
1317,3,0.0525035879
683,4,0.0272285122
503,5,0.0200526232
566,6,0.0225641843
327,7,0.0130361984
352,8,0.0140328496
259,9,0.0103253070
197,10,0.0078536119
182,11,0.0072556211
133,12,0.0053021847
143,13,0.0057008452
115,14,0.0045845958
75,15,0.0029899538
88,16,0.0035082124
69,17,0.0027507575
71,18,0.0028304896
79,19,0.0031494180
65,20,0.0025912933
66,21,0.0026311593
45,22,0.0017939723
54,23,0.0021527667
51,24,0.0020331686
78,25,0.0031095519
40,26,0.0015946420
39,27,0.0015547760
44,28,0.0017541062
42,29,0.0016743741
35,30,0.0013953118
39,31,0.0015547760
31,32,0.0012358476
28,33,0.0011162494
36,34,0.0014351778
26,35,0.0010365173
24,36,0.0009567852
30,37,0.0011959815
18,38,0.0007175889
25,39,0.0009966513
20,40,0.0007973210
21,41,0.0008371871
18,42,0.0007175889
22,43,0.0008770531
11,44,0.0004385266
18,45,0.0007175889
18,46,0.0007175889
22,47,0.0008770531
20,48,0.0007973210
16,49,0.0006378568
19,50,0.0007574550
17,51,0.0006777229
17,52,0.0006777229
16,53,0.0006378568
16,54,0.0006378568
15,55,0.0005979908
11,56,0.0004385266
16,57,0.0006378568
15,58,0.0005979908
14,59,0.0005581247
13,60,0.0005182587
10,61,0.0003986605
10,62,0.0003986605
6,63,0.0002391963
9,64,0.0003587945
12,65,0.0004783926
5,66,0.0001993303
9,67,0.0003587945
6,68,0.0002391963
12,69,0.0004783926
11,70,0.0004385266
10,71,0.0003986605
10,72,0.0003986605
10,73,0.0003986605
11,74,0.0004385266
11,75,0.0004385266
6,76,0.0002391963
7,77,0.0002790624
5,78,0.0001993303
5,79,0.0001993303
4,80,0.0001594642
7,81,0.0002790624
8,82,0.0003189284
5,83,0.0001993303
3,84,0.0001195982
10,85,0.0003986605
9,86,0.0003587945
5,87,0.0001993303
5,88,0.0001993303
5,89,0.0001993303
10,90,0.0003986605
7,91,0.0002790624
4,92,0.0001594642
5,93,0.0001993303
9,94,0.0003587945
5,95,0.0001993303
3,96,0.0001195982
5,97,0.0001993303
6,98,0.0002391963
3,99,0.0001195982
4,100,0.0001594642
4,101,0.0001594642
9,102,0.0003587945
6,103,0.0002391963
10,104,0.0003986605
9,105,0.0003587945
5,106,0.0001993303
3,107,0.0001195982
4,108,0.0001594642
2,109,0.0000797321
4,110,0.0001594642
3,111,0.0001195982
8,112,0.0003189284
2,113,0.0000797321
5,114,0.0001993303
4,115,0.0001594642
6,116,0.0002391963
4,117,0.0001594642
4,118,0.0001594642
3,119,0.0001195982
0,120,0.0000000000
3,121,0.0001195982
6,122,0.0002391963
3,123,0.0001195982
2,124,0.0000797321
2,125,0.0000797321
