number,accountValue,percentage
11577,0,0.4608678344
2627,15,0.1045780255
2864,30,0.1140127389
1602,45,0.0637738854
1112,60,0.0442675159
603,75,0.0240047771
637,90,0.0253582803
337,105,0.0134156051
329,120,0.0130971338
246,135,0.0097929936
211,150,0.0083996815
186,165,0.0074044586
149,180,0.0059315287
124,195,0.0049363057
132,210,0.0052547771
103,225,0.0041003185
96,240,0.0038216561
102,255,0.0040605096
116,270,0.0046178344
83,285,0.0033041401
63,300,0.0025079618
52,315,0.0020700637
59,330,0.0023487261
64,345,0.0025477707
55,360,0.0021894904
45,375,0.0017914013
53,390,0.0021098726
26,405,0.0010350318
56,420,0.0022292994
58,435,0.0023089172
35,450,0.0013933121
38,465,0.0015127389
32,480,0.0012738854
47,495,0.0018710191
36,510,0.0014331210
33,525,0.0013136943
35,540,0.0013933121
23,555,0.0009156051
18,570,0.0007165605
22,585,0.0008757962
28,600,0.0011146497
20,615,0.0007961783
30,630,0.0011942675
23,645,0.0009156051
23,660,0.0009156051
24,675,0.0009554140
31,690,0.0012340764
18,705,0.0007165605
21,720,0.0008359873
21,735,0.0008359873
19,750,0.0007563694
12,765,0.0004777070
17,780,0.0006767516
16,795,0.0006369427
23,810,0.0009156051
22,825,0.0008757962
9,840,0.0003582803
17,855,0.0006767516
10,870,0.0003980892
9,885,0.0003582803
12,900,0.0004777070
8,915,0.0003184713
12,930,0.0004777070
19,945,0.0007563694
10,960,0.0003980892
16,975,0.0006369427
12,990,0.0004777070
11,1005,0.0004378981
6,1020,0.0002388535
15,1035,0.0005971338
11,1050,0.0004378981
11,1065,0.0004378981
12,1080,0.0004777070
11,1095,0.0004378981
12,1110,0.0004777070
14,1125,0.0005573248
3,1140,0.0001194268
11,1155,0.0004378981
11,1170,0.0004378981
4,1185,0.0001592357
10,1200,0.0003980892
6,1215,0.0002388535
8,1230,0.0003184713
10,1245,0.0003980892
8,1260,0.0003184713
4,1275,0.0001592357
8,1290,0.0003184713
5,1305,0.0001990446
2,1320,0.0000796178
9,1335,0.0003582803
6,1350,0.0002388535
4,1365,0.0001592357
9,1380,0.0003582803
9,1395,0.0003582803
6,1410,0.0002388535
5,1425,0.0001990446
6,1440,0.0002388535
3,1455,0.0001194268
7,1470,0.0002786624
2,1485,0.0000796178
6,1500,0.0002388535
10,1515,0.0003980892
8,1530,0.0003184713
4,1545,0.0001592357
9,1560,0.0003582803
6,1575,0.0002388535
6,1590,0.0002388535
2,1605,0.0000796178
7,1620,0.0002786624
7,1635,0.0002786624
2,1650,0.0000796178
5,1665,0.0001990446
5,1680,0.0001990446
5,1695,0.0001990446
3,1710,0.0001194268
3,1725,0.0001194268
4,1740,0.0001592357
7,1755,0.0002786624
3,1770,0.0001194268
2,1785,0.0000796178
3,1800,0.0001194268
7,1815,0.0002786624
6,1830,0.0002388535
5,1845,0.0001990446
3,1860,0.0001194268
2,1875,0.0000796178
3,1890,0.0001194268
5,1905,0.0001990446
10,1920,0.0003980892
1,1935,0.0000398089
3,1950,0.0001194268
7,1965,0.0002786624
1,1980,0.0000398089
0,1995,0.0000000000
3,2010,0.0001194268
7,2025,0.0002786624
3,2040,0.0001194268
4,2055,0.0001592357
2,2070,0.0000796178
4,2085,0.0001592357
2,2100,0.0000796178
3,2115,0.0001194268
3,2130,0.0001194268
5,2145,0.0001990446
3,2160,0.0001194268
4,2175,0.0001592357
0,2190,0.0000000000
1,2205,0.0000398089
3,2220,0.0001194268
4,2235,0.0001592357
3,2250,0.0001194268
1,2265,0.0000398089
2,2280,0.0000796178
4,2295,0.0001592357
1,2310,0.0000398089
1,2325,0.0000398089
2,2340,0.0000796178
0,2355,0.0000000000
3,2370,0.0001194268
3,2385,0.0001194268
0,2400,0.0000000000
2,2415,0.0000796178
0,2430,0.0000000000
1,2445,0.0000398089
2,2460,0.0000796178
7,2475,0.0002786624
2,2490,0.0000796178
2,2505,0.0000796178
2,2520,0.0000796178
4,2535,0.0001592357
3,2550,0.0001194268
4,2565,0.0001592357
1,2580,0.0000398089
1,2595,0.0000398089
3,2610,0.0001194268
0,2625,0.0000000000
1,2640,0.0000398089
3,2655,0.0001194268
3,2670,0.0001194268
0,2685,0.0000000000
2,2700,0.0000796178
1,2715,0.0000398089
2,2730,0.0000796178
1,2745,0.0000398089
4,2760,0.0001592357
2,2775,0.0000796178
2,2790,0.0000796178
1,2805,0.0000398089
0,2820,0.0000000000
0,2835,0.0000000000
0,2850,0.0000000000
1,2865,0.0000398089
0,2880,0.0000000000
1,2895,0.0000398089
0,2910,0.0000000000
2,2925,0.0000796178
0,2940,0.0000000000
0,2955,0.0000000000
0,2970,0.0000000000
0,2985,0.0000000000
2,3000,0.0000796178
